,address,latitude,link,longitude,name,price,tags,isGluten
147,838 Beacon St,42.347459,/restaurants/audobon/,-71.10323,Audubon,$$$,"setTargeting('cuisine', ['american-new']);",0
148,1 Seaport Ln,42.349241,/restaurants/aura/,-71.041775,Aura,$$$$$,"setTargeting('cuisine', ['seafood', 'american-new']);",0
149,377 Centre St,42.322331,/restaurants/aurum/,-71.109111,Aurum,$$,"setTargeting('cuisine', ['american-new', 'smoothies-juice-bar', 'vegetarian-friendly']);",0
150,42 Beach St,42.351107,/restaurants/avana-sushi/,-71.060986,Avana Sushi,$$,"setTargeting('cuisine', ['japanese', 'sushi']);",0
151,1 Avenue De Lafayette,42.349089,/restaurants/avenue-one/,-71.060177,Avenue One,$$$$$,"setTargeting('cuisine', ['american-new']);",0
152,10 Avery St,42.353259,/restaurants/avery-bar/,-71.063147,Avery Bar,$$$$,"setTargeting('cuisine', ['mediterranean', 'small-plates-tapas', 'cocktails']);",0
153,571 Washington St,42.353548,/restaurants/avery-provision-co/,-71.062553,Avery Provision Co.,$$,"setTargeting('cuisine', ['delis', 'sandwiches', 'sushi']);",0
154,54 Harvard Ave,42.354283,/restaurants/azama-grill/,-71.132826,Azama Grill,$,"setTargeting('cuisine', ['middle-eastern']);",0
155,550 Tremont St,42.343997,/restaurants/b-g-oysters/,-71.071695,B&amp;G Oysters,$$$$$,"setTargeting('cuisine', ['seafood', 'new-england']);",0
156,655 Boylston St,42.350079,/restaurants/bgood-8/,-71.07861,b.good,$,"setTargeting('cuisine', ['health-food', 'burgers', 'sandwiches', 'local-organic']);",0
157,255 Washington St,42.357884,/restaurants/bgood-6/,-71.058018,b.good,$,"setTargeting('cuisine', ['health-food', 'burgers', 'sandwiches', 'local-organic']);",0
158,137 Massachusetts Ave,42.347009,/restaurants/bgood-5/,-71.087611,b.good,$,"setTargeting('cuisine', ['health-food', 'burgers', 'sandwiches', 'local-organic']);",0
159,131 Dartmouth St,42.347607,/restaurants/bgood/,-71.07625,b.good,$,"setTargeting('cuisine', ['health-food', 'burgers', 'sandwiches', 'local-organic']);",0
160,24 Dunster St,42.372649,/restaurants/bgood-2/,-71.119285,b.good,$,"setTargeting('cuisine', ['health-food', 'burgers', 'sandwiches', 'local-organic']);",0
161,84 Summer St,42.353859,/restaurants/bgood-7/,-71.058087,b.good,$$,"setTargeting('cuisine', ['health-food', 'burgers', 'sandwiches', 'local-organic']);",0
162,1095 Commonwealth Ave,42.352744,/restaurants/ba-co-banh-mi/,-71.125447,Ba Co Banh Mi,$$,"setTargeting('cuisine', ['vietnamese', 'sandwiches']);",0
163,148\u002D150 Western Ave,42.364795,/restaurants/bab-al-amoud/,-71.108775,Bab Al-Amoud (CLOSED),$$,"setTargeting('cuisine', ['middle-eastern']);",0
164,107 Salem St,42.364197,/restaurants/bacco/,-71.055795,Bacco,$$$$,"setTargeting('cuisine', ['italian']);",0
165,142 Berkeley St,42.3489,/restaurants/back-bay-harrys/,-71.07209,Back Bay Harry's,$$$$$,"setTargeting('cuisine', ['american-traditional']);",0
166,31 St James Ave,42.350711,/restaurants/back-bay-sandwich/,-71.071619,Back Bay Sandwich,$,"setTargeting('cuisine', ['sandwiches']);",0
